GeneID	GeneName	SRR9624152	SRR9624153	SRR9624154	SRR9624155	SRR9624156	SRR9624157
g3043	--	637	857	2334	781	1038	7862
g3044	--	423	363	1286	319	424	3483
g3045	--	600	898	2542	726	825	7303
g3046	--	68	110	380	76	74	673
g3047	--	252	296	818	228	270	2530
g3048	--	48	128	372	72	80	682
g3049	--	352	410	1432	434	517	4144
g305	--	207	186	624	173	199	1716
g3050	--	64	68	252	48	79	606
g3051	--	303	267	882	269	361	3071
g3052	--	127	210	780	122	163	1583
g3053	--	338	446	1414	362	415	3658
g3054	--	2115	2347	7106	2582	2981	25544
g3055	--	1751	1876	5632	2084	2551	21974
g3056	--	162	248	1300	200	259	2338
g3057	--	612	736	2858	602	643	5838
g3058	--	149	177	568	155	160	1602
g3059	--	1240	1543	5004	1700	2182	17822
g306	--	3653	4840	16176	3907	4654	39697
g3060	--	245	302	1126	166	258	2318
g3061	--	332	344	1056	309	446	3382
g3062	--	72	180	358	100	99	976
g3063	--	183	198	592	235	236	2024
g3064	--	464	484	1508	440	535	4602
g3065	--	1000	1294	4456	1566	1846	16200
g3066	--	1168	1545	4506	1504	1837	15091
g3067	--	756	784	2486	688	896	7573
g3068	--	311	480	1494	395	425	4108
g3069	--	128	187	616	148	175	1534
g307	--	584	795	2324	391	452	3759
g3070	--	49	62	184	31	36	490
g3071	--	430	567	1828	452	588	4988
g3072	--	1631	2278	6954	1665	2096	18015
g3073	--	113	142	520	126	152	1214
g3074	--	524	651	1726	558	698	5740
g3075	--	143	288	682	122	114	1080
g3076	--	3484	4192	11408	2830	3378	28593
g3077	--	482	591	1818	545	663	6011
g3078	--	200	203	628	210	253	1970
g3079	--	181	211	842	210	243	2098
g308	--	1627	1757	5906	1056	1330	11273
g3080	--	257	377	1208	214	229	2031
g3081	--	505	592	1750	471	532	4842
g3082	--	2339	3184	9628	2719	3414	28263
g3083	--	232	296	1116	270	337	2973
g3084	--	182	145	582	123	149	1068
g3085	--	485	422	1468	421	550	4580
g3086	--	119	112	402	130	151	1291
g3087	--	8	7	14	4	0	21
g3088	--	118	141	464	137	174	1694
g3089	--	609	928	2794	482	666	5510
g309	--	308	477	1616	344	393	3309
g3090	--	152	180	696	163	171	1470
g3091	--	4347	6191	16788	4562	6105	50421
g3092	--	3696	3936	12294	2406	2925	25590
g3093	--	116	121	356	123	113	982
g3094	--	3421	2259	8272	561	584	5567
g3095	--	1125	1039	3238	782	963	7476
g3096	--	2640	3344	9634	2547	3175	25529
g3097	--	639	864	2526	670	869	7471
g3098	--	104	137	542	124	175	1350
g3099	--	61	151	478	125	120	1097
g31	--	297	363	1116	281	387	3032
g310	--	215	269	932	282	365	2809
g3100	--	546	684	2104	471	572	4873
g3101	--	2158	3212	8748	4055	4672	39115
g3102	--	296	434	1218	385	408	3538
g3103	--	642	610	1898	664	728	6408
g3104	--	963	1149	3100	938	1264	10090
g3105	--	836	705	2588	678	899	7190
g3106	--	271	301	1018	245	313	2949
g3107	--	584	757	2098	462	587	4690
g3108	--	641	748	2994	707	920	7186
g3109	--	1477	1942	5654	1447	1707	15193
g311	--	238	287	698	179	218	1928
g3110	--	406	356	1218	267	384	3095
g3111	--	3143	5235	13642	3032	3575	29907
g3112	--	362	588	1892	406	471	4227
g3113	--	1134	1172	3344	919	1166	9365
g3114	--	782	1372	4718	966	1224	10020
g3115	--	1085	1313	3830	1044	1367	10958
g3116	--	298	408	1432	302	425	3397
g3117	--	1213	1426	4138	1092	1340	10627
g3118	--	1196	1406	4048	1074	1325	10482
g3119	--	50	74	430	82	106	641
g312	--	614	1122	2710	857	1104	9149
g3120	--	367	353	1180	226	267	2088
g3121	--	39	77	216	48	60	575
g3122	--	346	386	1098	335	424	3489
g3123	--	260	264	804	233	221	2271
g3124	--	224	369	1282	227	313	2494
g3125	--	482	571	2122	474	595	5091
g3126	--	70	84	350	93	74	687
g3127	--	51	48	134	41	55	532
g3128	--	612	721	2586	562	787	6444
g3129	--	649	676	2264	529	711	5925
g313	--	14	14	104	11	17	102
g3130	--	238	227	708	237	284	2284
g3131	--	61	67	302	64	65	531
g3132	--	1332	2532	5674	1806	1870	17540
g3133	--	436	658	2044	512	627	5657
g3134	--	90	134	464	87	93	825
g3135	--	426	599	1724	570	643	5457
g3136	--	1219	2215	5656	1453	1738	15244
g3137	--	113	430	1722	130	142	1196
g3138	--	886	2030	4930	917	1166	9029
g3139	--	54	86	204	47	47	398
g314	--	1938	2430	6654	2372	2942	24189
g3140	--	214	172	624	162	209	1690
g3141	--	478	626	1704	297	386	3247
g3142	--	147	215	628	105	212	1229
g3143	--	246	337	1120	256	340	2551
g3144	--	3864	4688	13152	3812	4546	38597
g3145	--	241	477	1162	80	128	1010
g3146	--	2871	4194	11636	2574	2881	25799
g3147	--	340	347	994	191	287	2069
g3148	--	1167	1464	4052	1243	1629	13029
g3149	--	98	102	396	87	90	701
g315	--	94	94	594	85	94	855
g3150	--	2495	3647	10014	3298	4244	33104
g3151	--	2182	2748	8052	2303	2726	23885
g3152	--	314	369	1812	267	311	2894
g3153	--	114	101	354	73	156	995
g3154	--	65	140	790	34	92	685
g3155	--	350	702	2146	343	439	3757
g3156	--	4696	5142	14956	3042	3724	31491
g3157	--	512	734	1966	273	325	2490
g3158	--	1986	2266	11524	2150	2513	21067
g3159	--	171	353	1773	151	182	2062
g316	--	179	292	1018	167	241	2205
g3160	--	100	153	512	179	211	1893
g3161	--	475	568	1418	387	397	3499
g3162	--	29	69	582	51	48	497
g3163	--	35	56	346	34	31	317
g3164	--	134	120	1391	50	97	701
g3165	--	4239	5145	13752	3951	4558	39446
g3166	--	2660	3115	10891	3137	3556	31998
g3167	--	275	292	1743	213	238	2238
g3168	--	106	99	622	71	97	668
g3169	--	64	53	198	61	52	477
g317	--	430	446	1552	588	655	5580
g3170	--	884	1293	3383	918	1116	9681
g3171	--	83	95	340	40	57	393
g3172	--	58	72	204	45	41	481
g3173	--	86	116	608	67	82	667
g3174	--	1652	1588	6640	1275	1579	13624
g3175	--	671	913	2269	350	395	3614
g3176	--	1235	1218	4388	1067	1202	10622
g3177	--	807	867	2302	593	728	6037
g3178	--	6	21	50	18	24	131
g3179	--	0	0	5	1	0	2
g318	--	61	66	276	88	76	721
g3180	--	0	0	8	0	0	0
g3181	--	0	0	9	2	0	16
g3182	--	2	4	1	0	0	1
g3183	--	3	8	16	2	1	19
g3184	--	7	22	56	3	4	81
g3185	--	21	13	96	9	15	57
g3186	--	2	4	20	5	4	59
g3187	--	4	11	96	5	11	50
g3188	--	0	0	2	0	0	2
g3189	--	1	0	0	0	0	2
g319	--	201	238	1228	251	204	2134
g3190	--	14	11	107	12	15	71
g3191	--	29	26	130	28	25	238
g3192	--	4	2	17	2	3	28
g3193	--	0	0	0	0	0	0
g3194	--	0	0	0	0	0	0
g3195	--	0	0	0	1	0	0
g3196	--	1	1	39	0	1	12
g3197	--	1	1	40	0	1	12
g3198	--	455	200	1395	340	352	3223
g3199	--	102	50	205	50	57	632
g32	--	386	461	1410	403	565	4069
g320	--	314	360	2966	293	357	3171
g3200	--	7	0	7	6	2	27
g3201	--	2	0	1	2	0	8
g3202	--	11	8	264	4	14	83
g3203	--	19	25	90	40	32	319
g3204	--	4	2	11	5	4	19
g3205	--	8	4	43	13	15	107
g3206	--	8	7	45	10	10	60
g3207	--	6	7	6	2	4	14
g3208	--	38	24	98	22	26	205
g3209	--	0	0	0	0	0	2
g321	--	260	218	1061	203	228	2070
g3210	--	2	1	9	4	0	14
g3211	--	20	15	44	7	16	95
g3212	--	0	0	0	0	0	0
g3213	--	8	10	26	4	0	30
g3214	--	2	2	1	2	2	6
g3215	--	4	0	9	0	0	23
g3216	--	10	14	64	10	14	89
g3217	--	0	0	0	0	0	0
g3218	--	3	5	95	0	12	62
g3219	--	19	27	349	20	29	179
g322	--	761	948	3452	1324	1563	13476
g3220	--	8	1	29	6	2	33
g3221	--	7	8	27	7	8	66
g3222	--	3	7	33	1	10	35
g3223	--	0	0	0	0	3	1
g3224	--	11	7	36	9	9	49
g3225	--	0	0	2	0	0	2
g3226	--	4	6	15	0	4	25
g3227	--	5	6	8	8	6	37
g3228	--	147	137	947	115	129	1117
g3229	--	12	18	49	4	8	44
g323	--	1182	1410	6584	2125	2300	20581
g3230	--	0	0	7	2	2	14
g3231	--	0	3	0	0	0	2
g3232	--	0	0	9	0	0	2
g3233	--	4	3	10	0	0	13
g3234	--	2	0	3	0	2	9
g3235	--	0	0	0	0	0	2
g3236	--	1	4	152	2	5	53
g3237	--	0	0	3	0	0	4
g3238	--	14	17	35	6	6	37
g3239	--	1	6	20	2	4	30
g324	--	1330	1980	12238	1591	1766	15237
g3240	--	7	0	11	6	2	22
g3241	--	311	573	9156	425	435	3959
g3242	--	3	0	30	2	1	10
g3243	--	0	0	8	0	0	7
g3244	--	13	11	255	11	9	75
g3245	--	4	6	27	3	3	31
g3246	--	0	2	17	0	0	11
g3247	--	5	13	214	6	3	40
g3248	--	16	12	115	9	6	50
g3249	--	9	11	20	7	2	54
g325	--	378	448	3230	366	419	3721
g3250	--	2	4	16	5	3	23
g3251	--	11	12	26	10	5	75
g3252	--	31	32	213	9	35	167
g3253	--	2	0	2	2	0	1
g3254	--	8	8	32	4	10	51
g3255	--	11	11	45	3	6	86
g3256	--	10	5	53	3	9	61
g3257	--	1	5	4	0	1	11
g3258	--	0	0	5	0	0	4
g3259	--	4	1	11	0	7	47
g326	--	216	233	1129	260	233	2198
g3260	--	12	23	61	6	14	52
g3261	--	5	2	11	2	1	21
g3262	--	9	8	39	8	4	31
g3263	--	0	0	3	0	0	1
g3264	--	1	0	4	0	0	0
g3265	--	1	1	8	0	0	5
g3266	--	1	2	21	0	1	3
g3267	--	0	0	0	0	0	0
g3268	--	5	15	38	4	0	34
g3269	--	522	754	5406	551	567	5350
g327	--	458	513	1360	545	674	5474
g3270	--	64	70	221	37	51	371
g3271	--	132	180	476	108	163	1104
g3272	--	272	301	1830	227	248	2317
g3273	--	1545	1329	10171	1104	1325	11420
g3274	--	383	653	2030	427	502	4021
g3275	--	78	75	221	42	38	372
g3276	--	72	76	268	67	88	670
g3277	--	77	81	229	65	80	554
g3278	--	5437	5700	18092	4233	4528	40681
g3279	--	748	1076	2878	743	840	6722
g328	--	70	108	286	51	62	494
g3280	--	144	233	600	114	133	1123
g3281	--	9182	12652	35410	8584	11237	92836
g3282	--	125	166	464	114	102	1087
g3283	--	112	151	468	122	158	1206
g3284	--	61	77	240	81	81	759
g3285	--	156	170	584	175	200	1759
g3286	--	102	100	246	82	101	759
g3287	--	1206	1249	3736	651	798	6552
g3288	--	618	710	2426	848	972	7973
g3289	--	1980	2907	7848	2277	2675	22744
g329	--	158	277	738	176	238	1673
g3290	--	837	1169	3252	810	891	7684
g3291	--	158	246	762	155	203	1602
g3292	--	628	686	2056	807	911	7414
g3293	--	190	248	728	173	188	1546
g3294	--	918	1247	3949	1127	1370	11748
g3295	--	1797	2542	6738	2578	3213	26984
g3296	--	225	260	756	262	334	2507
g3297	--	687	744	2020	772	992	7957
g3298	--	213	216	998	198	241	1871
g3299	--	305	360	1264	392	461	4060
g33	--	495	585	1858	443	635	4745
g330	--	1693	3005	9496	1834	2242	20003
g3300	--	770	1277	4402	834	1046	8469
g3301	--	142	183	628	120	145	1217
g3302	--	79	67	312	84	92	669
g3303	--	641	964	2680	694	912	8105
g3304	--	321	411	1182	365	434	3893
g3305	--	947	960	3320	1130	1342	11223
g3306	--	284	418	1624	365	442	3633
g3307	--	1346	1319	4230	1467	1786	14431
g3308	--	365	493	1440	438	579	4563
g3309	--	90	81	472	61	87	800
g331	--	628	1035	2546	792	828	7645
g3310	--	102	146	688	94	141	1198
g3311	--	94	87	264	121	156	1153
g3312	--	288	318	878	291	303	2916
g3313	--	1038	1197	3546	914	1112	9595
g3314	--	287	357	1138	245	242	2210
g3315	--	167	199	612	186	234	2026
g3316	--	506	717	2020	610	705	6252
g3317	--	38	55	168	42	19	256
g3318	--	75	36	189	58	52	593
g3319	--	24	32	103	11	15	176
g332	--	2199	3350	9786	2103	2552	21449
g3320	--	586	664	2447	528	609	5280
g3321	--	262	406	1016	232	279	2178
g3322	--	842	950	3258	542	604	5331
g3323	--	1919	2121	6054	1610	1901	15782
g3324	--	463	642	2176	330	380	3106
g3325	--	756	1109	3892	900	1095	9285
g3326	--	1435	2173	5862	2042	2509	21471
g3327	--	119	124	432	97	108	899
g3328	--	442	546	1636	447	625	4930
g3329	--	725	740	2108	660	799	6957
g333	--	1635	2709	7884	1415	1801	14053
g3330	--	300	345	1188	312	412	3204
g3331	--	1065	1304	3770	1037	1090	9471
g3332	--	195	230	658	146	218	1745
g3333	--	834	1286	3160	756	888	7729
g3334	--	637	686	2062	843	1013	8359
g3335	--	371	479	1402	323	404	3488
g3336	--	217	210	716	132	136	1654
g3337	--	1095	1977	5120	982	1160	10155
g3338	--	34	45	194	36	39	369
g3339	--	251	284	842	230	257	2175
g334	--	575	729	2160	488	658	5485
g3340	--	90	120	400	38	85	845
g3341	--	659	761	2106	481	604	4837
g3342	--	378	471	1170	387	457	3951
g3343	--	378	410	1284	356	471	3834
g3344	--	368	377	1146	393	478	4014
g3345	--	91	106	384	124	128	1228
g3346	--	519	726	1908	551	669	5546
g3347	--	788	936	2618	543	573	5085
g3348	--	262	244	766	231	301	2386
g3349	--	22	17	50	17	9	161
g335	--	184	332	1494	181	207	1927
g3350	--	268	339	1026	317	380	2963
g3351	--	1412	1748	4688	1359	1756	14215
g3352	--	94	130	414	113	145	1098
g3353	--	429	613	1692	418	520	4746
g3354	--	1070	1141	3390	1066	1280	10468
g3355	--	75	115	320	99	136	1208
g3356	--	92	146	444	139	154	1424
g3357	--	2665	3579	10158	3770	4198	36361
g3358	--	1066	1409	3916	1156	1346	11460
g3359	--	620	803	2292	877	1062	8845
g336	--	5486	5062	15944	3322	4213	35287
g3360	--	100	103	324	58	43	451
g3361	--	1004	1722	3980	974	1136	9410
g3362	--	766	1015	2608	842	964	7761
g3363	--	130	153	578	127	170	1266
g3364	--	368	469	1716	411	461	3904
g3365	--	609	793	2002	967	1173	9440
g3366	--	80	132	566	64	118	766
g3367	--	412	511	1640	566	652	5723
g3368	--	111	107	500	59	95	782
g3369	--	78	161	514	56	76	684
g337	--	259	504	1952	348	407	3162
g3370	--	117	223	538	89	122	1016
g3371	--	3341	3283	9208	3048	3550	30487
g3372	--	522	678	2182	550	710	5933
g3373	--	219	531	2512	247	282	2636
g3374	--	1778	2754	7414	1801	2123	18225
g3375	--	1373	1835	11015	1524	1800	15319
g3376	--	935	1502	6494	997	1277	10660
g3377	--	221	251	784	190	247	2174
g3378	--	504	676	1914	505	583	5250
g3379	--	497	612	1906	773	951	7397
g338	--	358	332	1026	323	347	3131
g3380	--	91	152	488	120	133	1081
g3381	--	138	242	1054	120	202	1519
g3382	--	237	256	750	177	226	1866
g3383	--	192	256	758	165	187	1540
g3384	--	457	716	2140	514	589	4910
g3385	--	1800	2337	6344	2009	2446	21514
g3386	--	3354	4716	13360	3975	4810	41825
g3387	--	845	1554	6476	1023	1246	10402
g3388	--	338	336	1046	215	285	2508
g3389	--	883	1333	3880	1271	1532	12912
g339	--	322	388	1188	358	546	4451
g3390	--	1292	1506	4568	1138	1376	10999
g3391	--	3946	4877	35672	3459	5210	44380
g3392	--	3116	4972	12322	4171	4738	42132
g3393	--	186	262	1064	242	251	2275
g3394	--	183	223	792	172	210	1835
g3395	--	149	201	1038	167	216	1883
g3396	--	241	297	832	225	283	2418
g3397	--	770	1057	2870	1092	1317	11299
g3398	--	738	650	2308	511	538	4935
g3399	--	1445	1740	5024	1166	1461	11850
g34	--	219	285	872	207	277	2212
g340	--	322	390	1198	359	546	4454
g3400	--	380	367	1444	316	428	3484
g3401	--	354	509	1182	428	500	4155
g3402	--	267	226	872	187	259	1988
g3403	--	128	119	452	116	195	1361
g3404	--	81	63	330	98	135	982
g3405	--	742	957	3164	793	964	7742
g3406	--	3122	4301	15352	2689	3139	27283
g3407	--	272	270	840	282	358	3018
g3408	--	668	833	2090	782	865	7962
g3409	--	1793	2596	6584	1771	2178	17608
g341	--	86	243	666	144	132	1221
g3410	--	175	188	672	200	200	1884
g3411	--	320	391	1040	318	509	3680
g3412	--	382	371	1280	310	341	2855
g3413	--	1392	1512	4358	1201	1474	12145
g3414	--	710	786	2546	880	1007	8735
g3415	--	282	341	1640	233	317	2654
g3416	--	288	341	940	287	331	2867
g3417	--	178	175	552	183	200	1822
g3418	--	108	146	442	97	154	1160
g3419	--	243	266	1036	282	315	2755
g342	--	1823	2559	8102	2123	2419	21145
g3420	--	297	350	1080	302	311	2754
g3421	--	80	83	428	70	80	826
g3422	--	315	368	1006	374	393	3535
g3423	--	330	378	1200	250	285	2587
g3424	--	799	752	2326	712	1010	8390
g3425	--	566	531	1820	622	690	5436
g3426	--	1439	1757	4852	1919	2386	20120
g3427	--	142	160	618	131	212	1631
g3428	--	309	346	1496	262	385	2975
g3429	--	208	347	1028	274	244	2635
