	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
g1752	374.9736336820779	0.4856376432312942	0.1609515097791745	3.0172916296193133	0.0025504431628561633	0.015569123188181653
g1753	618.504489047527	-0.38592375021089864	0.13742112856593522	-2.8083290701962973	0.004979931113304669	0.025549459121987247
g1754	464.21340082351276	-0.16279902233311433	0.154371590045085	-1.0545918603647735	0.29161202805565134	0.47601945688374836
g1755	529.7796824388889	-0.07777693767346318	0.15115616701678775	-0.5145469034341489	0.60686967665312	0.7564806230139297
g1756	1770.2975021708717	0.24904344827403396	0.10807698806840976	2.3043152175595076	0.02120495533691747	0.07592941692139418
g1757	440.7926285442193	0.34493380570276405	0.16395212255221542	2.103869107232263	0.035389866445187636	0.11002542093305379
g1758	179.6704555430681	1.0839593212599385	0.28046041133480587	3.864928087714804	0.0001111219343938496	0.0013026746512858612
g1759	768.3561584959385	-0.21924458128658242	0.11413191727352025	-1.9209751883967463	0.054734835581359546	0.15058215977203623
g176	626.0453698867813	-0.17223665264389718	0.1242038424451623	-1.3867256378959614	0.16552543975338874	0.3222100178382993
g1760	910.7852915625928	0.13111189994170364	0.12386230331278837	1.0585294834265104	0.2898141164841649	0.475827726484483
g1761	480.71909297813045	-0.34861522501163944	0.1383930672572115	-2.5190223175248936	0.011768119743872969	0.049620216239629325
g1762	2018.5918238410793	0.03276415869297274	0.11280561494634117	0.2904479418737963	0.7714735712838287	0.865428625835397
g1763	145.2498818014619	0.5469272545738445	0.21623068363353537	2.5293693077378827	0.011426772143415543	0.048458465737226515
g1764	1010.8822973983068	1.0974829176761165	0.5680863226691621	1.9318946327022564	0.05337251239802254	0.1476064749339752
g1765	1397.754915754629	0.312283355890666	0.13308474431913553	2.346500025140481	0.018950664931954034	0.07012183184928607
g1766	1117.9088101798998	0.28786199924701894	0.17566654438632098	1.6386842483447548	0.10127903621151052	0.2295079177142107
g1767	783.8398333917454	0.24110587165374048	0.138561269550873	1.7400668486601738	0.08184728054088754	0.1973017941525914
g1768	258.3957067052508	0.9212759336386784	0.2277347801266379	4.045389699045437	5.2236156306899586e-05	0.0007228619976154037
g1769	963.1870464930563	0.28505140455799943	0.13320074710761143	2.140013556588459	0.032353671183065674	0.10330871589705516
g177	253.69523914266688	0.6793912151242079	0.16773440096114547	4.05039879256244	5.113042043304807e-05	0.0007137848800992852
g1770	485.3970121378914	0.21485038244068308	0.13714741550590245	1.5665653023657344	0.11721633347049681	0.25397530642816507
g1771	2537.900967876852	-0.10042369997009941	0.13452835039246192	-0.7464872621802883	0.45537312341188074	0.6363997437728313
g1772	1903.4121105849074	-0.41269779763734993	0.1347827679573594	-3.061947783769459	0.002199018093379009	0.013766302043755327
g1773	2851.3586428202757	-0.5760940409413802	0.10323512103442295	-5.580407473434221	2.399557738825561e-08	1.0904656835329494e-06
g1774	205.38886118477026	0.6285454690933098	0.1867857446557257	3.365061237686066	0.0007652667242347086	0.006044950240145842
g1775	704.3705310741684	0.12232653548340736	0.1366897838423875	0.8949208349356824	0.37082940826794075	0.5585200703086293
g1776	938.5744482977275	0.5377291118562629	0.14406658484965418	3.732504053021242	0.00018958564535427228	0.0019602942712052705
g1777	183.5381384984175	-0.27664139812960925	0.20648621379847246	-1.3397572314421304	0.18032428427997138	0.3429307550042763
g1778	340.46262314330346	0.4999506849704891	0.18540223253065843	2.6965731649850353	0.007005700548126122	0.03362852394498841
g1779	386.3843781351698	0.37402146113306145	0.17150052888712358	2.1808764297119514	0.02919255751190436	0.09560302864886117
g178	242.191006592956	0.6767355987664947	0.1707603485565595	3.9630722500097573	7.399137707067169e-05	0.0009556570491127806
g1780	621.2624536804577	0.0166342555313641	0.15552831606580003	0.1069532285318808	0.9148260850629348	0.9563972789311738
g1781	3600.7451606647955	0.6142485127100187	0.09978035930778167	6.156006221778705	7.460229380764599e-10	5.280981605883555e-08
g1782	227.7695146554563	0.7580417025736822	0.20899195195297682	3.62713346370506	0.00028658517929459074	0.0027907937697973237
g1783	288.4373145569079	0.5171360724094931	0.2020154076198971	2.5598843103220745	0.010470701327472085	0.0456355380529886
g1784	2351.763612450768	0.7598399071120996	0.10905174275193988	6.967700725705121	3.2216262282261996e-12	4.5610792869617845e-10
g1785	3069.8006328681645	-0.06745768475918185	0.1057936249005197	-0.6376346856685735	0.523711511324461	0.6939460306642696
g1786	908.665185798985	-0.2564980619619707	0.13789064009577012	-1.860155713134868	0.06286349873472796	0.16587852246776605
g1787	1061.7777116852728	-0.3170514457961285	0.14018551237784188	-2.2616562897140184	0.023718647297128363	0.08213390470435512
g1788	370.4489130513241	-0.2118957298451693	0.2440446117902241	-0.8682663726553024	0.3852485265927431	0.5741294843675657
g179	305.5333597662921	-0.10609822218682635	0.26575736071685546	-0.39922966536330884	0.6897239866365485	0.8160957874667745
g1790	344.9026922719636	-0.22652265963469326	0.19654873635368242	-1.1525012260932264	0.24911516620800556	0.43442664289094807
g1791	1146.8096556177998	-0.2301245388686975	0.11668670093463342	-1.9721573840502242	0.04859164286505978	0.13821640588829145
g1792	357.76159409372286	-0.33780850338527324	0.1667180213449162	-2.026226682995444	0.0427415604735061	0.12616815084440733
g1793	1129.525501496625	0.2863458463458729	0.15867779652225603	1.804574128338808	0.0711413495963655	0.17998028031905253
g1794	298.2765008109291	0.7563007668460545	0.19524849314802373	3.8735293402376234	0.00010727048552757155	0.0012778946951542466
g1795	1895.9128857250328	0.1697086150993649	0.10607197495428942	1.5999382982404071	0.10961227209613998	0.24262343571009698
g1796	711.1073453343843	0.12795387537835942	0.13857674658935515	0.9233430465612349	0.35582846169670346	0.5416892338732694
g1797	3358.602401744922	0.10751898911020029	0.09664120442539413	1.112558455262255	0.26589811152786214	0.4516428680958752
g1798	3358.602401744922	0.10751898911020029	0.09664120442539413	1.112558455262255	0.26589811152786214	0.4516428680958752
g1799	1691.7290881843007	-0.26733018771894723	0.09520358663645509	-2.80798441701336	0.004985263906633879	0.025549459121987247
g18	404.7623314200423	-0.28183066292267495	0.2312750429183166	-1.2185952248302638	0.22299786235795604	0.40188169547148445
g180	2734.6083504690905	-0.12173208020976006	0.10606444136756231	-1.1477181102373615	0.25108495242476137	0.4363756892707963
g1800	1336.1132980948569	0.47868999628880865	0.1149161749365907	4.165558038743839	3.105918921730167e-05	0.0004803734265079305
g1801	620.2906201558447	0.7736216604588281	0.21354427746162483	3.6227693369018166	0.00029146571679511304	0.0028081970597333187
g1802	478.93048764610376	0.03950529472608618	0.1566382023742823	0.25220727847533303	0.8008808524797397	0.8850322479669533
g1803	491.2429890696206	0.19464157427443993	0.15787387420748497	1.232892872563786	0.21761573497667486	0.39605753509074093
g1804	1005.8985121212451	0.1437371692110002	0.11021704075776882	1.304128365475723	0.1921898189476604	0.3596597476087127
g1805	2457.690940521618	0.340720365914171	0.08993559780059324	3.7884928131530526	0.00015156397645012373	0.001678797283471729
g1806	291.7547259501515	1.0816261829982294	0.2467959900955453	4.382673245944902	1.1723187455690643e-05	0.00021127345662982132
g1807	267.0751121421066	0.03613414190187987	0.1822771821180504	0.19823732999382157	0.8428593818862735	0.9125192308009921
g1808	358.3967772118806	0.44565211677398336	0.16061543555237898	2.7746531038024043	0.005526061648887115	0.027788842799936434
g1809	1471.5832856434092	-0.0154926606839054	0.10668470224973424	-0.14521913973794676	0.8845378547909579	0.9382060258983916
g181	1634.4738709044989	-0.3719044432242538	0.10382001139055212	-3.5822038376129286	0.0003407077757351292	0.0031651769654195572
g1810	680.0739602180242	0.0038828200303441976	0.12422211365636675	0.031257075862395706	0.9750645221665367	0.9886351229286541
g1811	317.6624416793406	-0.036041181182070725	0.18098792550641318	-0.1991358323005566	0.8421564923765295	0.9125192308009921
g1812	703.2611346173193	-0.24131225394676037	0.12721405835761	-1.8968992661833826	0.05784123433242678	0.15643907683884126
g1813	442.64804730249915	0.4048378209154839	0.1560429377145828	2.5944001493740805	0.009475613277332531	0.04227846360468006
g1814	1049.6307116718624	0.05431682370113398	0.10907324441184582	0.49798485406779497	0.6184947175890092	0.7644197511100346
g1815	1204.804898586363	0.01208640892252562	0.10227671522434975	0.11817361259611632	0.9059300975295782	0.9513073405266674
g1816	282.1661492243328	-0.39466695732125046	0.17256270943705324	-2.2870929565765517	0.022190397918635175	0.07846575863448231
g1817	329.24663965315915	0.22985029845875252	0.15776584620496992	1.456907841511719	0.1451418211945037	0.29533833267936327
g1818	3509.876737554721	-0.3932422167224263	0.0970053575784795	-4.053819567690213	5.0388086274263625e-05	0.0007137848800992852
g1819	773.872902205164	0.3044587266772481	0.1440756472338336	2.11318659692095	0.03458480002357158	0.10797849778351738
g182	391.12134776530667	-0.28861284953354804	0.1507003407125409	-1.9151439749169088	0.05547414502424161	0.1520478986107471
g1820	1169.1687298177153	-0.11273158283521807	0.10451605883971583	-1.0786053749701894	0.2807636841964499	0.46806663112641855
g1821	570.7493680700782	0.27066061360361776	0.14840200538655898	1.8238339360617017	0.06817718170691689	0.1761124251671306
g1822	6359.659820428333	-0.13103858183951875	0.08193983836970124	-1.5992047878870683	0.10977510683819251	0.24271433048978774
g1823	576.386752419924	-0.30362745888263315	0.13456535011154647	-2.2563569197489883	0.024048287328937545	0.08296321055090826
g1824	334.3932152678479	-0.6118456195061776	0.1667948323742001	-3.6682528517041644	0.0002442136063731291	0.0024326779158114144
g1825	491.94778875631863	0.02000055219396954	0.13813041572721602	0.14479470063615255	0.8848729664119589	0.9382060258983916
g1826	430.4315447749804	0.12729358525964896	0.14961693903172354	0.8507966148983883	0.39488234240144415	0.5821233089225935
g1827	254.0365302231015	-0.4800162936188806	0.21145300340993953	-2.270085011222484	0.02320242557748024	0.08080239219555796
g1829	1168.4576441193565	0.06456859607710777	0.10569923945424704	0.6108709618961538	0.5412850101431421	0.7067066395800813
g183	796.8647248373528	-0.15908028007579816	0.11245424972686761	-1.4146222171432141	0.15717929118339397	0.31072877059402426
g1830	1555.778000810492	-0.1674410164795907	0.10000984499230797	-1.6742453354714133	0.09408239295006458	0.2171268266139108
