	Merozoite_1	Merozoite_2	Merozoite_3	IntraEri_1	IntraEri_2	IntraEri_3
g2841	1166.7963486817046	951.7126236743694	885.9991736148164	930.5300134243132	868.4312039943296	892.4818431107727
g2842	10427.621201335984	12228.943594218546	10419.634776857733	15755.519907467955	15846.817414285943	15550.24045993244
g2843	739.4348240367873	921.1161095460901	895.1436604984556	646.8076425934458	646.8088740524875	600.0105204982815
g2844	950.1339943268396	739.1473676252716	718.3502474147651	797.5971543636971	1085.1285932707974	858.8688905780294
g2845	1093.2504118823467	1172.3295939677512	981.5082588439365	876.9600552954082	996.4796612940606	943.2876276861263
g2846	653.9625191078038	595.8268540770164	577.1187277674492	831.3263872596743	802.765328456006	753.5869415530573
g2847	538.6742938547563	447.67531198219064	551.717375312896	714.2661083854003	604.1260549525771	629.9530931567598
g2848	2528.3900434806274	2737.5828430565616	2443.61010612802	2616.991658223175	2413.220926033392	2521.1646178438737
g2849	316.0487554350784	315.627198375933	318.02493273100634	279.7542257842818	306.9879681416628	284.93738497584195
g285	570.4779422004245	523.3614258784603	513.107319581975	509.9066384862441	497.41900720280125	532.9777933209139
g2850	966.0358184996737	961.3746807675102	836.212522803892	1039.654002205416	1019.4627177324738	979.2187148763003
g2851	445.2510768393558	360.7167981439234	372.8918540328413	414.67115736819073	444.8863067721424	385.96942046219135
g2852	1101.2013239687637	942.0505665812285	880.9189031239057	777.7564291307692	952.1551953056921	896.3454008731571
g2853	155.04278568513283	144.93085639711208	240.80482126916453	168.64616447988618	210.1308017226355	180.04179172710826
g2854	248.46600270053335	299.52376988736495	303.8001753564565	216.26390503891287	203.56421416880315	261.1765047371785
g2855	441.2756207961472	359.1064552950666	376.9560704255698	361.10119923928573	400.56184078377396	395.8214927562713
g2856	433.3247087097302	397.7546836676298	361.71525895283787	456.3366803573391	379.2204312338188	404.51449772163596
g2857	850.7475932466263	864.7541098361021	1963.016517687873	791.6449367938187	860.2229695520391	724.9966141114135
g2858	755.3366482096214	821.2748529169685	936.8018785239228	878.944127818701	955.4384890826084	823.7105149403322
g2859	1458.992367857532	1341.4155930977151	1453.9734144986264	1593.2102362041014	1746.7122893194078	1618.0579908865438
g286	7159.796333818569	7362.487504973294	7204.839610209476	7392.654221788894	7592.616859118666	7535.289881866215
g2860	341.8892197159339	344.6133696553554	406.42163927285156	394.830432135263	333.25431835699226	339.60672731357977
g2861	1170.7718047249132	1072.4883373386294	969.3156096657509	1238.061254534694	1106.4700028207526	1161.9649970370776
g2862	4641.344930445963	5124.110945062341	4850.642264721483	5555.403065219781	5588.166008311338	5603.124644897828
g2863	10922.565478715447	9806.987949537917	9538.715873733827	10364.794861681476	9912.263912509947	10278.222715270947
g2864	417.42288453689605	552.3475971578828	533.4284015456177	238.08870279513346	254.45526771100396	229.4953310856273
g2865	1510.673296419243	1528.215363565104	1340.175355502228	1212.2683117318877	1493.8986684968618	1262.22432097095
g2866	2156.6849034406296	2162.690446014684	2333.87626352435	2474.138436546095	2455.9037451333024	2526.380420823092
g2867	2472.733658875708	2230.3248456666693	1993.4981406333368	2565.405772617563	2767.8166539403396	2745.250968062163
g2868	220.6378103980736	117.55502796654646	129.03887046913036	148.8054392469584	164.164688845809	166.90569533500167
g2869	421.39834058010456	241.55142732852013	468.4009392619614	414.67115736819073	421.9032503337291	433.87753671575666
g287	59.631840648128005	123.99639936197367	174.76130488732616	119.04435139756673	139.53998551893764	119.19075696955558
g2870	498.91973342267096	362.3271409927802	469.4169933601435	470.22518802038854	456.377834991349	468.07002291285767
g2871	218.65008237646936	220.61697029338174	205.24292783279003	178.5665270963501	221.62232994184214	222.92728288957397
g2872	566.502486157216	584.5544541350188	488.722021225604	545.6199439055141	559.8015889642087	570.6474815041607
g2873	522.7724696819222	484.7131975058971	398.2932064873945	541.6517988589286	431.7531316644777	470.58133545840747
g2874	526.7479257251307	486.3235403547539	405.40558517466945	541.6517988589286	433.39477855293575	473.09264800395727
g2875	1991.7034776474754	2576.5485581708813	1997.5623570260655	2495.9632343023154	2593.8020837637823	2633.014615064899
g2876	5454.325691282108	7193.40150584333	5778.299656361767	5299.457709715012	5074.330532223956	5210.007642575226
g2877	417.42288453689605	867.9747955338157	717.334193316583	436.4959551244113	393.99525322994157	411.27572380580847
g2878	870.6248734626689	1051.553880303491	1216.2167555240082	660.6961502564953	541.7434731911696	581.6586211269561
g2879	1715.4092826444823	1484.7361066459705	1385.8977899204237	1263.8541973375	1487.3320809430295	1381.2219000523864
g288	5486.129339627777	5993.696083445013	5298.722122019803	5517.705687277217	5836.05468846851	5497.456340096617
g2880	1007.7781069533632	842.2093099521069	898.191822793002	960.291101273705	930.8137857557371	834.3352987868891
g2881	590.3552224164673	492.7649117501811	476.52937204741846	384.91006951879905	362.8039623492379	337.4817705442684
g2882	1834.6729639407383	1959.7872470587267	1682.5855865896056	2069.3876417943684	1922.3685063844234	1932.9379485208642
g2883	536.686565833152	502.4269688433219	459.25645237832225	533.7155087657575	484.2858320951365	548.2388464823318
g2884	419.4106125585003	363.937483841637	417.598234352855	464.27297045051023	438.31971921831	469.229090241573
g2885	286.2328351110144	159.4239420368233	197.114495047333	226.18426765537677	215.05574238800978	205.34809507072544
g2886	906.4039778515457	922.7264523949469	945.946365407562	958.3070287504121	845.4481475559163	850.9485971651416
g2887	767.263016339247	745.5887390206989	783.3777096984214	672.600585396252	751.8742749138052	677.4748536340866
g2888	592.3429504380715	528.1924544250307	538.5086720365283	488.08184073002354	576.2180578487896	463.82010937423496
g2889	157.03051370673708	161.03428488568008	173.74525078914405	138.88507663049452	146.10657307277	105.0887711368529
g289	665.8888872374293	771.3542246024076	766.1047900293252	980.1318265066327	1047.3707148362614	1034.8539466546342
g2890	3128.683906005116	2726.310443114564	2712.864442146284	2041.6106264682694	2055.3419043495287	2019.4816423982725
g2891	443.26334881775153	363.937483841637	540.5407802328925	541.6517988589286	466.22771632209754	492.7967925921172
g2892	514.8215575955052	521.7510830296035	589.3113769456347	626.9669173605181	600.8427611756609	561.7612986506768
g2893	697.6925355830977	777.7955959978349	826.0519818220708	888.8644904351648	732.1745122523081	767.4957494976408
g2894	1969.8384694098283	2227.1041599689556	2114.4085783170103	2111.0531647835164	2009.375791472702	2054.4468401478503
g2895	262.38009885176325	341.3926839576418	366.79552944374853	198.40725232927787	265.94679593021056	255.5743459817213
g2896	449.2265328825643	457.3373690753315	468.4009392619614	432.52781007782573	430.11148477601955	455.12710440887025
